2026-05-22 14:12:52 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Slow+J%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:53 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22VSP+AST%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:54 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22King+Bigs%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:55 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Espama+Trincana%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:56 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Paulo+Gonzo%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:58 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22ProfJam%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:12:59 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22Yung+Juse%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:00 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22DJ+Arana%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:01 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%22T-Rex%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
2026-05-22 14:13:03 | ERROR    | __main__:_make_request:56 - Erro na requisição para https://musicbrainz.org/ws/2/artist: HTTPSConnectionPool(host='musicbrainz.org', port=443): Max retries exceeded with url: /ws/2/artist?query=artist%3A%2250+Cent%22&limit=1&fmt=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
